id,text
1,"Ít hứng thú hoặc không có niềm vui khi làm việc gì."
2,"Cảm thấy buồn bã, chán nản hoặc tuyệt vọng."
3,"Khó ngủ, ngủ không yên giấc hoặc ngủ quá nhiều."
4,"Cảm thấy mệt mỏi hoặc có ít năng lượng."
5,"Ăn kém ngon miệng hoặc ăn quá nhiều."
6,"Cảm thấy tệ về bản thân — hoặc nghĩ rằng mình là người thất bại, làm bản thân hoặc gia đình thất vọng."
7,"Khó tập trung vào việc gì đó, chẳng hạn như đọc báo hoặc xem tivi."
8,"Di chuyển hoặc nói chậm đến mức người khác có thể nhận thấy; hoặc ngược lại, bồn chồn, đứng ngồi không yên nhiều hơn bình thường."
9,"Có suy nghĩ rằng mình nên chết đi hoặc muốn tự làm tổn thương bản thân bằng cách nào đó."
